fold_start,fold_end,n_train,n_test,ann_ret_pct,sharpe,profit_factor,n_switches,regime_dist
2016-11,2017-01,227,41,0.9564288631226603,-0.31114120671675316,1.01,2,"{'Bull': 34, 'Bear': 7}"
2017-01,2017-03,268,39,85.95249490525218,4.147058863391748,2.28,2,"{'Bull': 24, 'Sideways': 14, 'Bear': 1}"
2017-03,2017-05,307,35,94.39865866796605,5.0,2.47,1,"{'Sideways': 34, 'Bear': 1}"
2017-05,2017-07,342,41,56.7217957775608,3.011812035096943,1.73,1,"{'Sideways': 40, 'Bear': 1}"
2017-07,2017-09,383,41,-5.172264504831259,-0.7085633430308951,0.95,1,"{'Sideways': 40, 'Bear': 1}"
2017-09,2017-11,424,40,37.44446321749808,1.9362782199224808,1.49,4,"{'HighVol': 23, 'Bull': 16, 'Bear': 1}"
2017-11,2018-01,464,39,22.345531337774126,1.248099965833066,1.32,1,"{'Bull': 38, 'Bear': 1}"
2018-01,2018-03,503,37,-29.067663802889566,-2.60954496216408,0.71,1,"{'Bull': 36, 'Bear': 1}"
2018-03,2018-05,540,38,28.909782064943457,1.2915693734495215,1.32,1,"{'Bull': 37, 'Bear': 1}"
2018-05,2018-07,578,43,-17.77070093250135,-1.95678158930064,0.8,1,"{'Bull': 42, 'Sideways': 1}"
2018-07,2018-09,621,40,86.27315806320873,4.3538437804842,2.05,1,"{'Bull': 39, 'Sideways': 1}"
2018-09,2018-11,661,35,-31.08847685370041,-1.8950814948767352,0.77,2,"{'Sideways': 19, 'Bull': 16}"
2018-11,2019-01,696,37,-1.3262154093497625,-0.46553440528433904,0.99,0,{'Bear': 37}
2019-01,2019-03,733,38,8.572170827371384,0.17355273894312634,1.11,0,{'Bear': 38}
2019-03,2019-05,771,32,20.413615085460425,1.1204724382390663,1.29,0,{'Bear': 32}
2019-05,2019-07,803,41,65.8816922144804,2.3278604301731374,1.6,0,{'Sideways': 41}
2019-07,2019-09,844,38,-10.9591009476534,-1.078833687973223,0.9,2,"{'Bear': 25, 'Bull': 13}"
2019-09,2019-11,882,34,-18.95653647097224,-1.718549818286788,0.81,1,"{'HighVol': 33, 'Bear': 1}"
2019-11,2020-01,916,40,21.963516163334674,1.1858579947262557,1.31,1,"{'Bear': 39, 'Sideways': 1}"
2020-01,2020-03,956,40,-58.70859709881066,-4.425971804779484,0.48,1,"{'Sideways': 39, 'Bear': 1}"
2020-03,2020-05,996,32,-34.04163960872091,-0.8562955075812289,0.88,1,"{'HighVol': 31, 'Bear': 1}"
2020-05,2020-07,1028,42,153.65761995424236,5.0,2.63,1,"{'HighVol': 41, 'Bear': 1}"
2020-07,2020-09,1070,44,124.70453089209008,3.9012464652067913,2.0,2,"{'Sideways': 24, 'HighVol': 19, 'Bear': 1}"
2020-09,2020-11,1114,41,102.4106362302347,2.657307381711664,1.58,0,{'Sideways': 41}
2020-11,2021-01,1155,38,188.35347660902048,5.0,2.72,2,"{'Sideways': 31, 'Bull': 6, 'Bear': 1}"
2021-01,2021-03,1193,40,93.68563015257673,2.3948191728147563,1.57,2,"{'Sideways': 32, 'Bear': 8}"
2021-03,2021-05,1233,33,-13.253028309102676,-0.913984824455069,0.9,3,"{'HighVol': 16, 'Bear': 16, 'Sideways': 1}"
2021-05,2021-07,1266,43,49.26797265477112,4.163652982697777,2.1,1,"{'HighVol': 42, 'Sideways': 1}"
2021-07,2021-09,1309,40,77.13860273763285,4.423821748416413,2.25,1,"{'HighVol': 39, 'Sideways': 1}"
2021-09,2021-11,1349,37,123.98778301660376,4.137735408614746,2.0,1,"{'Bear': 36, 'Sideways': 1}"
2021-11,2022-01,1386,41,-7.088379819134172,-0.6734645105015863,0.94,1,"{'Bear': 40, 'Sideways': 1}"
2022-01,2022-03,1427,39,-31.832729261087856,-1.576974640951187,0.79,1,"{'Bear': 38, 'Sideways': 1}"
2022-03,2022-05,1466,36,65.24215940902455,2.451201014151824,1.53,1,"{'Bear': 35, 'Sideways': 1}"
2022-05,2022-07,1502,44,14.264848850775568,0.32723627604456845,1.1,2,"{'HighVol': 37, 'Sideways': 7}"
2022-07,2022-09,1546,39,84.03887618072147,3.7547729105708987,1.95,2,"{'Sideways': 25, 'Bear': 14}"
2022-09,2022-11,1585,37,-5.645154915394047,-0.6266764007391956,0.95,1,"{'Sideways': 32, 'Bull': 5}"
2022-11,2023-01,1622,43,11.93239999405824,0.3457031136829678,1.14,1,"{'Bull': 42, 'Sideways': 1}"
2023-01,2023-03,1665,39,-36.351840856232506,-3.50135355339583,0.62,1,"{'Bull': 38, 'Sideways': 1}"
2023-03,2023-05,1704,33,6.451702983257324,0.019363920586399276,1.08,1,"{'Bull': 18, 'Sideways': 15}"
2023-05,2023-07,1737,41,44.63823618956295,2.9939063623017814,1.7,2,"{'Sideways': 26, 'Bull': 15}"
2023-07,2023-09,1778,43,29.628759001479345,1.930687667742983,1.48,1,"{'Bull': 42, 'Sideways': 1}"
2023-09,2023-11,1821,38,-6.5957742265497,-0.994771052637754,0.92,1,"{'Bull': 37, 'Sideways': 1}"
2023-11,2024-01,1859,37,109.42410469325354,5.0,2.85,1,"{'Bull': 36, 'Sideways': 1}"
2024-01,2024-03,1896,38,50.91089946163419,2.299231660926866,1.63,1,"{'Bull': 37, 'Sideways': 1}"
2024-03,2024-05,1934,33,-5.243915949038036,-0.6554520328344746,0.95,1,"{'Bull': 32, 'Sideways': 1}"
2024-05,2024-07,1967,39,112.49365026394025,2.7699868798044336,2.0,0,{'Sideways': 39}
2024-07,2024-09,2006,40,-24.97200447709971,-2.3659905288442564,0.69,1,"{'Bull': 39, 'Sideways': 1}"
2024-09,2024-11,2046,42,-1.9883888453875453,-0.5103044041827984,0.98,1,"{'Bull': 41, 'Sideways': 1}"
2024-11,2025-01,2088,38,-21.158063668935554,-1.8860339218236701,0.76,2,"{'Sideways': 31, 'Bull': 7}"
2025-01,2025-03,2126,40,-46.19977438209677,-3.7464328137609884,0.58,0,{'Sideways': 40}
2025-03,2025-05,2166,34,-6.680022432811528,-0.6255319346847813,0.95,1,"{'Bull': 33, 'Sideways': 1}"
2025-05,2025-07,2200,43,59.95605372329613,2.9355002114786015,1.88,1,"{'Bull': 42, 'Sideways': 1}"
2025-07,2025-09,2243,40,-15.765260645720403,-2.308521348497418,0.76,1,"{'Bull': 39, 'Sideways': 1}"
2025-09,2025-11,2283,37,48.97892179421459,4.018779742162232,2.07,1,"{'Bull': 36, 'Sideways': 1}"
2025-11,2026-01,2320,44,4.923089099478961,-0.11236568668381085,1.09,1,"{'Bull': 43, 'Sideways': 1}"
2026-01,2026-03,2364,35,-0.48992538917437267,-0.34581111935620884,1.0,1,"{'Bull': 34, 'Sideways': 1}"
2026-03,2026-05,2399,34,7.346329409530661,0.038558881709557645,1.04,0,{'Sideways': 34}
2026-05,2026-07,2433,40,47.41517648251001,1.7581052571672804,1.4,0,{'Sideways': 40}
2026-07,2026-09,2473,44,-2.2903307815468565,-1.1031484543086274,0.94,0,{'Sideways': 44}
